,0,1
677,0,2
678,0,2
679,1,2
680,0,2
681,1,2
682,1,6
683,1,2
684,0,2
685,1,2
686,0,2
687,1,6
688,1,5
689,1,2
690,0,2
691,0,2
692,0,2
693,0,2
694,1,7
695,0,2
696,1,5
697,1,2
698,1,8
699,1,5
700,1,2
701,1,8
702,1,2
703,1,2
704,0,0
705,1,2
706,0,4
707,1,0
708,0,2
709,1,5
710,0,2
711,0,2
712,1,2
713,0,4
714,1,2
715,1,2
716,0,4
717,1,2
718,1,1
719,1,0
720,1,1
721,0,0
722,0,2
723,1,7
724,1,0
725,0,2
726,0,2
727,0,0
728,1,4
729,1,1
730,1,3
731,1,2
732,1,3
733,0,0
734,0,3
735,0,2
736,1,2
737,1,2
738,0,2
739,0,5
740,0,2
741,1,6
742,0,9
743,1,2
744,0,2
745,1,9
746,1,6
747,1,9
748,0,9
749,1,2
750,1,2
751,1,5
752,1,8
753,1,2
754,0,2
755,0,2
756,1,2
757,1,6
758,1,2
759,1,2
760,1,0
761,0,2
762,0,2
763,1,2
764,1,2
765,0,9
766,1,2
767,0,2
768,0,2
769,1,1
770,0,9
771,0,2
772,0,9
773,1,0
774,0,9
775,0,2
776,1,2
777,0,0
778,1,2
779,1,0
780,1,4
781,0,2
782,1,9
783,1,1
784,0,9
785,1,8
786,1,8
787,1,2
788,1,2
789,1,2
790,0,2
791,0,0
792,0,7
793,0,2
794,0,9
795,0,3
796,0,9
797,1,0
798,1,4
799,1,2
800,1,2
801,0,2
802,1,6
803,0,0
804,0,0
805,0,9
806,0,2
807,1,0
808,0,9
809,1,2
810,0,2
811,1,4
812,0,2
813,0,2
814,0,2
815,0,0
816,0,2
817,0,3
818,0,3
819,0,2
820,1,2
821,0,5
822,1,2
823,0,2
824,1,2
825,0,2
826,0,9
827,0,4
828,1,2
829,1,0
830,1,2
831,1,8
832,0,7
833,1,6
834,1,2
835,0,2
836,0,2
837,1,2
838,0,9
839,1,2
840,1,8
841,1,1
842,1,5
843,0,6
844,0,2
845,0,9
846,0,2
847,0,0
848,0,0
849,1,8
850,1,9
851,1,2
852,0,5
853,0,6
854,1,6
855,1,4
856,1,2
857,0,2
858,0,2
859,0,4
860,0,2
861,1,3
862,0,2
863,1,2
864,0,5
865,1,2
866,1,1
867,0,9
868,0,0
869,1,2
870,0,2
871,0,6
872,1,3
873,1,2
874,0,2
875,0,2
876,0,9
877,0,2
878,1,0
879,0,6
880,0,4
881,1,7
882,1,6
883,1,4
884,1,1
885,0,2
886,0,9
887,1,8
888,1,7
889,0,4
890,1,2
891,0,2
892,0,2
893,1,6
894,1,8
895,1,2
896,0,2
897,1,0
898,0,2
899,1,2
900,1,4
901,1,2
902,1,2
903,1,1
904,1,2
905,1,1
906,1,2
907,1,0
908,0,9
909,1,1
910,0,2
911,0,2
912,1,0
913,1,0
914,1,8
915,1,7
916,0,0
917,1,1
918,1,5
919,1,2
920,1,2
921,0,3
922,0,2
923,0,2
924,1,4
925,0,2
926,1,3
927,0,9
928,0,2
929,1,2
930,0,2
931,1,9
932,1,6
933,1,8
934,1,2
935,1,5
936,0,4
937,0,2
938,1,1
939,0,2
940,0,2
941,0,2
942,0,9
943,1,2
944,1,4
945,1,3
946,0,5
947,1,4
948,0,2
949,0,0
950,0,4
951,0,9
952,1,8
953,1,2
954,1,0
955,1,2
956,0,2
957,0,2
958,1,6
959,1,4
960,0,7
961,1,6
962,0,2
963,0,9
964,1,0
965,0,0
966,0,2
967,1,0
968,0,2
969,1,6
970,0,4
971,0,9
972,1,4
973,1,2
974,0,0
975,1,1
976,0,2
977,0,2
978,0,2
979,0,6
980,1,6
981,0,9
982,0,0
983,1,2
984,0,2
985,0,9
986,0,2
987,0,2
988,1,2
989,0,2
990,1,2
991,1,8
992,0,2
993,1,6
994,0,9
995,0,9
996,0,4
997,1,1
998,1,9
999,1,2
1000,1,2
1001,0,3
1002,1,9
1003,0,0
1004,1,2
1005,0,2
1006,0,2
1007,1,9
1008,1,3
1009,0,2
1010,1,9
1011,0,0
1012,1,0
1013,0,0
1014,0,2
1015,0,7
1016,1,6
1017,1,8
1018,1,5
1019,1,2
1020,1,8
1021,1,9
1022,1,8
1023,0,0
1024,1,8
1025,0,2
1026,1,2
1027,1,9
1028,1,0
1029,0,0
1030,1,4
1031,1,2
1032,1,7
1033,1,8
1034,1,9
1035,1,1
1036,0,2
1037,0,2
1038,1,6
1039,1,0
1040,1,7
1041,1,2
1042,1,2
1043,1,2
1044,0,2
1045,0,2
1046,1,5
1047,0,5
1048,1,5
1049,1,6
1050,1,0
1051,0,7
1052,0,2
1053,0,2
1054,0,2
1055,0,7
1056,1,8
1057,1,2
1058,1,3
1059,0,2
1060,1,1
1061,0,9
1062,1,2
1063,1,2
1064,0,4
1065,0,2
1066,1,2
1067,1,9
1068,1,0
1069,0,2
1070,0,9
1071,1,0
1072,1,2
1073,0,2
1074,0,3
1075,0,7
1076,1,2
1077,0,9
1078,1,2
1079,0,9
1080,0,2
1081,1,2
1082,1,8
1083,0,4
1084,0,9
1085,0,9
1086,0,2
1087,0,5
1088,1,2
1089,1,0
1090,1,2
1091,0,9
1092,0,0
1093,0,0
1094,1,8
1095,1,0
1096,0,5
1097,1,0
1098,0,0
1099,0,2
1100,1,2
1101,1,1
1102,1,1
1103,0,2
1104,0,7
1105,0,5
1106,0,6
1107,1,1
1108,1,1
1109,0,2
1110,1,0
1111,1,8
1112,0,2
1113,0,6
1114,0,2
1115,0,0
1116,0,9
1117,1,2
1118,1,2
1119,0,7
1120,0,5
1121,0,3
1122,1,2
1123,0,3
1124,0,2
1125,0,0
1126,0,9
1127,1,0
1128,1,2
1129,1,2
1130,1,2
1131,1,2
1132,0,7
1133,1,0
1134,1,1
1135,0,6
1136,1,8
1137,1,3
1138,1,0
1139,0,2
1140,1,1
1141,0,0
1142,1,6
1143,1,0
1144,1,2
1145,1,2
1146,0,2
1147,1,8
1148,0,7
1149,0,2
1150,0,0
1151,1,0
1152,1,1
1153,1,4
1154,0,2
1155,1,8
1156,1,2
1157,0,2
1158,0,2
1159,1,2
1160,0,2
1161,0,2
1162,0,0
1163,0,4
1164,0,2
1165,1,5
1166,0,2
1167,1,2
1168,1,6
1169,0,2
1170,0,2
1171,1,4
1172,0,6
1173,0,7
1174,0,9
1175,1,2
1176,0,9
1177,0,9
1178,0,2
1179,0,2
1180,1,2
1181,1,1
1182,1,2
1183,1,2
1184,1,0
1185,1,2
1186,0,4
1187,0,9
1188,0,5
1189,0,2
1190,1,9
1191,0,2
1192,0,9
1193,0,2
1194,1,8
1195,0,4
1196,0,5
1197,1,6
1198,0,9
1199,0,2
1200,1,8
1201,0,2
1202,0,2
1203,1,6
1204,0,4
1205,1,5
1206,1,0
1207,0,2
1208,1,2
1209,0,2
1210,1,8
1211,1,1
1212,1,2
1213,0,9
1214,1,3
1215,0,4
1216,1,6
1217,0,0
1218,0,9
1219,0,0
1220,1,8
1221,1,2
1222,0,0
1223,0,9
1224,0,4
1225,1,2
1226,1,3
1227,0,6
1228,1,2
1229,0,2
1230,1,8
1231,1,2
1232,0,4
1233,1,5
1234,1,2
1235,1,6
1236,1,0
1237,0,2
1238,1,2
1239,1,2
1240,1,5
1241,1,8
1242,0,2
1243,1,1
1244,1,8
1245,1,2
1246,1,2
1247,0,4
1248,0,2
1249,0,2
1250,1,5
1251,0,2
1252,1,2
1253,0,2
1254,1,2
1255,1,2
1256,0,9
1257,0,5
1258,0,2
1259,1,8
1260,1,0
1261,1,2
1262,1,2
1263,1,7
1264,0,2
1265,0,2
1266,1,2
1267,0,2
1268,0,7
1269,1,1
1270,1,0
1271,1,2
1272,1,2
1273,1,2
1274,1,0
1275,1,2
1276,0,0
1277,1,1
1278,0,2
1279,0,0
1280,0,2
1281,1,8
1282,0,9
1283,0,6
1284,1,2
1285,1,0
1286,0,2
1287,0,0
1288,1,3
1289,1,0
1290,0,9
1291,1,2
1292,1,9
1293,1,2
1294,1,2
1295,1,2
1296,1,2
1297,1,2
1298,0,2
1299,1,1
1300,0,4
1301,1,6
1302,1,8
1303,0,9
